Plate ID,Abbreviation,Name and Description
000,Hotspots,
008,RHS,Reunion Hotspot 
009,KHS,Kerguelen Hotspot 
010,THS,Tristan Hotspot
011,SHH,St Helena Hotspot
012,GMH,Great Meteor Hotspot
028,IHS ,Iceland Hotspot
100,North America and the Arctic,
101,NAM,North America
102,GRN,Greenland
103,NSL,North Slope Alaska
104,MEX,Mexico
105,BAJ,Baja California
107,BIS,Baffin Island
108,AVA,Avalon/Acadia
109,PDM,Piedmont
111,MNR,Mendeleyev Ridge
113,NWR,Northwind Ridge
114,LMN,Lomonosov Ridge
120,CAIN,Canadian Arctic Islands North
121,ELA,South Ellesmere Island
122,ELB,South Central Ellesmere Island
123,ELC,North Central Ellesmere
124,ELD,North Ellesmere Island (Pearya)
130,BAF,Baffin Bay
131,CCO,Cache Creek Ocean
141,CAIS,Canadian Arctic Islands South (Ellesmerian Terrane)
154,LPA,Laurentia Parautochthon
160,,Laurentia Parautochthon Cordillera
173,PUM,Purcell Mountains
176,EKL,East Klamath 
178,RMG,Roberts Mnt and Golkonda
182,KNTT,"Koyukuk, Nyak, Togiak terranes"
183,MEG,Meguma
184,GAN,Ganderia
185,CAR,Carolinia
199,,Masking COB polygon for Laurentia-Greenland
1001,PKT1,Proto-Kazakhstania terrane 1
1002,PKT2,Proto-Kazakhstania terrane 2
1011,SMI,Slide Mountain Isochrons
1041,ORPK,Orphan Basin (Cretaceous)
1043,FLM,Flemish Cap
1361,JAB,Jeanne d'Arc Basin
1614,SBB,Stikinia BAB isochrons
10001-10009,,Mojave (McQuarrie 2005)
10010,,SBR (McQuarrie 2005)
10011,,Mojave (McQuarrie 2005)
10012,,CBR (McQuarrie 2005)
10013-10026,,Mojave (McQuarrie 2005)
10027,,CBR (McQuarrie 2005)
10028,,Mojave (McQuarrie 2005)
10029-10030,,CBR (McQuarrie 2005)
10031,,SBR (McQuarrie 2005)
10032-10033,,Mojave (McQuarrie 2005)
10034,,SBR (McQuarrie 2005)
10035-10039,,CBR (McQuarrie 2005)
10040,,SBR (McQuarrie 2005)
10041-10042,,CBR (McQuarrie 2005)
10043-10044,,SBR (McQuarrie 2005)
10045,,CBR (McQuarrie 2005)
10046,,SBR (McQuarrie 2005)
10047-10064,,CBR (McQuarrie 2005)
10065,,Sierras/Great Valley (McQuarrie 2005)
10066-10073,,CBR (McQuarrie 2005)
10074,,Colorado Plateau (McQuarrie 2005)
10075,,NBR (McQuarrie 2005)
10076,,CBR (McQuarrie 2005)
10077,,Mojave (McQuarrie 2005)
10078-10081,,NBR (McQuarrie 2005)
10082,,CBR (McQuarrie 2005)
10083-10084,,NBR (McQuarrie 2005)
10085,,Baja (McQuarrie 2005)
10086-10088,,CBR (McQuarrie 2005)
10090-10099,,E. Transve (McQuarrie 2005)
10109,,Gulf of California (McQuarrie 2005)
10110-10206,,MBR West (McQuarrie 2005)
10207-10229,,Mojave (McQuarrie 2005)
10230-10368,,NBR (McQuarrie 2005)
10369-10370,,NW Coast (McQuarrie 2005)
10371,,West San A (McQuarrie 2005)
10372-10382,,NW Coast (McQuarrie 2005)
10383,,West San A (McQuarrie 2005)
10384-10400,,NW Coast (McQuarrie 2005)
10401-10520,,Rio Grande (McQuarrie 2005)
10521-10524,,Continent edge (McQuarrie 2005)
10525,,NW Coast (McQuarrie 2005)
10526,,West San A (McQuarrie 2005)
10527,,NW Coast (McQuarrie 2005)
10528,,Continent edge (McQuarrie 2005)
10529,,NW Coast (McQuarrie 2005)
10542-10575,,Rio Grande (McQuarrie 2005)
10576-10665,,San Bernardino (McQuarrie 2005)
10666-10669,,Sierra Occidental (McQuarrie 2005)
10890-10940,,West San A (McQuarrie 2005)
10941-11181,,z-stable N (McQuarrie 2005)
11182-11183,,Mojave M9 (McQuarrie 2005)
11184-11188,,z-stable N (McQuarrie 2005)
12001,,Cascade Volcanic Arc
16101,STK,Stikinia Terrane 
16102,QES,Quesnellia Terrane 
16103,SMT,Slide Mountain Terrane
16104,YTT,Yukon-Tanana Terrane
16105,YTUP,Yukon-Tanana Upland
16106,CSR,Cassiar Terrane
16107,KOO,Kootenay Terrane
16110,WRG,Wrangellia Terrane
16111,ALX,Alexander Terrane 
16112,PNT,Peninsular Terrane
16113,CCT,Cache Creek Terrane
16114,SMTBA,Conjugate of YTT back-arc basin
16121,CHG1,Chugach Terrane1
16122,CHG2,Chugach Terrane2 
16123,YAK,Yakutat Terrane
16124,WSMR,Metamorphic rocks b/w Stikinia and Wrangellia
16130,ALE,Aleutian chain
16140,BER,Bering Shelf
16141,OBS,Outer Bering Shelf
16150,AXB,Alexander back-arc basin isochron rotations
16152,TALX,Trapped Alexander back-arc basin crust
18100,AACM,North Slope Alaska Province or AACM (Arctic Alaska-Chukotka Microplate)
18102,RUBY,Ruby Terrane
18103,ANG,Angayucham Terrane
18104,FWT,Farewell Terrane
18105,GNT,Goodnews Terrane
18106,KOY,Koyukuk Terrane
18108,TOG,Togiak Terrane
18150,NSLM,North Slope Microplate of AACM
18200,CHUM,Chukchi microcontinent and North Chukchi Basin Province
18202,SNC,South North Chukchi Basin
18203,NCB,North Chukchi Basin
200,South America and the Caribbean,
201,SAM,South America
202,PRB,Parana Basin
204,HON,Honduras/Chortis
205,YUC,Yucatan
212,GYP,Guayape
215,GUE,Guerrero
216,CYR,Cayman Ridge
222,JMC,Jamaica
224,COF,Caribbean Ocean Floor
225,MRB,Maricaibo
228,PRJ,Perija
233,FLS,Florida Straits Block
234,LAA,Lesser Antilles Arc
237,PTR,Puerto Rico
254,HCO,Hispaniola Cordillera
255,NHI,Northern Hispaniola
274,NCT,North Cuban Thrust Sheets
275,SCT,South Cuban Thrust Sheets
276,SPE,Sandwich Plate East
278,CSS,Central Scotia Sea South
280,BDW,Burdwood Plate
281,SPW,Sandwich Plate West
283,NPM,North Patagonian Massif
290,SSP,Salado Subplate
291,RAW,Rawson Block
293,EMEB,East of Maurice Ewing Bank
294,FP,Falkland Plateau (North Weddell Sea)
295,CMR,Comorin Ridge
296,NIP,Northern Indian Protocontinent
297,SVP,Saurashtra Volcanic Platform
298,GMI,Greater-Mascarene-India (Northern flank of Mascarene Basin)
2000,CAFS,Forearc Sliver Central America
2001,ECT,Eastern Cayman Trough
2004,YCT,Yucatan
2005,JAM,Jamaica
2007,CAR,Caribbean Plate interior
2008,AVR,Aves Ridge
2009,GRB,Grenada Basin
2010,LAA,Lesser Antilles Arc 
2011,BAP,Barbados Accretionary Prism
2013,WPA,Western Panama 
2014,CPA,Central Panama 
2015,EPA,Eastern Panama 
2016,TOBB,Tobago Basin
2017,NHS,Northern Hispaniola 
2018,CHS,Central Hispaniola 
2022,SC1,Southern Cuba I
2023,SC2,Southern Cuba II
2024,SC3,Southern Cuba III
2025,NCU,Northern Cuba
2030,NAB,Northern Andes Block (Greater Maracaibo)
2031,GPA,Greater Panama 
2033,NWAG,Greater Arc of NW Andes
2034,SAC,SAM Clip Material 
2035,CHO,Chortis
2037,ECHO,Eastern Chortis Terrane 
2038,OEC,Offshore Eastern Chortis
2039,SIE,Siuna East
2040,SIW,Siuna West
2041,NNWA,Northern Clip Material NW Andes
2045,PUR,Puerto Rico
2047,NNR,North Nicaraguan Rise
2048,SNR,South Nicaraguan Rise
2049,CBA,Caribeana 
2050,YCB,Yucatan Basin
2052,MAY,Mayari
2053,EJC,East Jamaica CLIP
2060,QBTW,Quebradagrande back-arc western flank
2061,QBTE,Quebradagrande back-arc eastern flank
2063,PSZ,Peru subduction retreat (QT opening)
2064,NQTO,Northern QT back-arc transform (opening)
2065,NQSC,Northern QT back-arc subduction (closure)
2067,NQSZ,Northern subduction Farallon beneath QT
2068,NQTC,Northern QT back-arc transform (closure)
2069,SQBT,Southern QT back-arc transform
2881,SJUB,San Julian Massif Block
2891,NFB,North Falkland Block
2901,PMP,Pampean Terrane
2993,SOLIP,Southern Ocean LIP ridge jump
20041,YCT1,Sandwell MOR
28011,SPB,South Patagonian Batholith
28800,DMB,Deseado Massif Block
28900,FIM,Falkland Islands/Malvinas Microplate (deforming region)
29800,MEB,Maurice Ewing Bank
201001-201108,,Andes Fix SW (2013-05-29)
300,Europe,
301,EUR,Northern European Craton
302,BAL,Baltic Shield
304,IBR,Iberia
305,CEU,Central Europe (Armorica and Moldanubia)
306,COR,Corsica
307,ADR,Adria
308,DIN,Eastern Dinaride Platform
309,WSV,West Svalbard
311,BAR,Barentsia and East Svalbard
314,MGCR,Mid German Crystalline Rise
315,ENG,South England (East Avalonia)
317,POR,Porcupine
318,RKL,Rockall
319,STR,Strandja (Mosesia)
320,,Balaeric Islands
322,CAL,Calabria
323,SIC,Sicily
328,EDAW,Eastern Dinaride accretionary wedge
329,BET,Betic (Spain)
330,TOB,Tornquist Block
332,LCP,Laccadive Plateau
334,PES,Pelso
337,TIS,Tisza
338,ROD,Rhodopes
339,CFZ1,Fracture zone north 1 and fracture zone north 2
340,SPN,Southern Panonian
344,WALP,Western Alps
346,PEL,Peloponnese
347,CRT,Crete
349,SMD,Serbo Macedonia
372,YWK,Yamal Peninsula (Western Kara Sea)
373,NVS,Novaya Semya
374,PER,Perunica
375,SAX,Saxothuringia
380,MOO,Mongol-Okhotsk Ocean plate
390,UPB,Urals Peri Baltica
3021,AXB1,Alexander BAB isochron rotations (Pangea)
3022,EAC,Eastern Alps-Carpathians)
3031,SCO,Scotland
3061,SCOR,South Corsica
3071,APD,Apennines-Dinarides
3115,GBR,Great Britain
3171,PORB,Porcupine Basin
3181,RKLB,Rockall Basin
3201,MEN,Menorca
3228,VAV,"Vavilov Basin, Tyrrhenian Sea"
3229,MAR,"Marsili Basin, Tyrrhenian Sea"
3307,APU,Apulia
3308,ION,Ionian Basin
3329,ALPT,Alpine Tethys back-arc basin
3330,ALPT,Alpine Tethys back-arc basin
3331,ALPT,Alpine Tethys back-arc basin
3332,ALPT,Alpine Tethys back-arc basin
3446,GRC,Greece
30101-30111,,Erlian Basin (Liu et al. 2017)
30301-30307,,Fenwei Graben (Liu et al. 2017)
30309,,N Ordos Graben (Liu et al. 2017)
30310-30312,,Fenwei Graben (Liu et al. 2017)
30313,,N Ordos Graben (Liu et al. 2017)
30314-30323,,Fenwei Graben (Liu et al. 2017)
30324,,N Ordos Graben (Liu et al. 2017)
30325-30327,,Fenwei Graben (Liu et al. 2017)
30328-30329,,N Ordos Graben (Liu et al. 2017)
30330-30370,,Fenwei Graben (Liu et al. 2017)
30371-30374,,N Ordos Graben (Liu et al. 2017)
30375-30384,,Fenwei Graben (Liu et al. 2017)
30385,,N Ordos Graben (Liu et al. 2017)
30386-30387,,Fenwei Graben (Liu et al. 2017)
30388-30389,,N Ordos Graben (Liu et al. 2017)
30391-30395,,Huainan Basin (Liu et al. 2017)
30484-30488,,Dabashan (Liu et al. 2017)
30555-30556,,Tanlu fault (Liu et al. 2017)
30600-30606,,Dabashan-Dabieshan South (Liu et al. 2017)
30614-30615,,Dabashan-Dabieshan (Liu et al. 2017)
30620,,Mianlue (Liu et al. 2017)
30676,,Luonan-Luanchuan fault (Liu et al. 2017)
30684,,Japan block (Liu et al. 2017)
301005,,Tanlu fault (Liu et al. 2017)
301006,,Shangyi-Chicheng Basin (Liu et al. 2017)
301007,,Dunhua Mishan fault (Liu et al. 2017)
301009,,Yuxian Basin (Liu et al. 2017)
301013,,Luonan-Luanchuan fault (Liu et al. 2017)
301017,,Nanyang (Liu et al. 2017)
301020,,North Yellow Sea (Liu et al. 2017)
301024,,Eastern Japanese Sea strike-slip fault 1 (Liu et al. 2017)
301028,,Misc. (Liu et al. 2017)
301029,,Northern margin of Huabei (Liu et al. 2017)
301030,,Ordos block (Liu et al. 2017)
301036,,Jining fault (Liu et al. 2017)
301037,,Eastern Taihang fault (Liu et al. 2017)
301041,,Japan block (Liu et al. 2017)
301042,,Laiyang Basin (Liu et al. 2017)
301044,,Laiyang Basin (Liu et al. 2017)
301045,,Jinan block (Liu et al. 2017)
301046,,Ordos block (Liu et al. 2017)
301048,,Chaoyang Basin (Liu et al. 2017)
301049,,Laiyang Basin (Liu et al. 2017)
301053,,Tanlu fault (Liu et al. 2017)
301059,,Xinkai (Liu et al. 2017)
301062,,East China Sea basin (Liu et al. 2017)
301066,,Zijingguan fault (Liu et al. 2017)
301072,,Korea (Liu et al. 2017)
301077,,Yanshan (Liu et al. 2017)
301095,,Eastern Songliao Basin (Liu et al. 2017)
301096,,Proto South China Sea opening (Liu et al. 2017)
301097,,Jianghan Basin (Liu et al. 2017)
301098,,South China Basin (Liu et al. 2017)
301100,,Mianlue (Liu et al. 2017)
301103-301105,,Huainan Basin (Liu et al. 2017)
301107,,Hefei foreland basin (Liu et al. 2017)
301108,,Tiashan block (Liu et al. 2017)
301113,,East China Sea basin (Liu et al. 2017)
301115,,Liaoxi (Liu et al. 2017)
301116,,Bohai Bay Basin (Liu et al. 2017)
301117,,Zhoukou foreland basin (Liu et al. 2017)
301123,,S Yanshan thrust front (Liu et al. 2017)
301132,,Eastern Luliangshan (Liu et al. 2017)
301141,,Laiyang Basin (Liu et al. 2017)
301153,,Sikhote-Alin Terrane (Liu et al. 2017)
301154,,Jiamusi Terrane (Liu et al. 2017)
301155,,Jiamusi-Qitaihe Terrane (Liu et al. 2017)
301156,,Korea (Liu et al. 2017)
301157-301158,,Dabieshan continental crust (Liu et al. 2017)
301159,,Qinling continental crust (Liu et al. 2017)
301160,,Hanan block (Liu et al. 2017)
301165,,Sichuan block (Liu et al. 2017)
301167,,South China block (Liu et al. 2017)
301168,,Eastern margin fault of South China (Liu et al. 2017)
301172-301173,,Jianghan Basin (Liu et al. 2017)
301175,,Jianghan Basin (Liu et al. 2017)
301190,,Tiexi-Wuxi Fault (Liu et al. 2017)
301196,,Sichuan block (Liu et al. 2017)
301198,,Northern Qinling margin fault (Liu et al. 2017)
301201,,Zhangbaling (Liu et al. 2017)
301202,,Yilan-Yitong fault (Liu et al. 2017)
301204-301205,,Tanlu fault (Liu et al. 2017)
301209,,Yilan-Yitong fault (Liu et al. 2017)
301210,,Erlianhot fault zone (Liu et al. 2017)
301212,,Western Songliao Basin fault zone (Liu et al. 2017)
301235-301237,,Zhangbaling (Liu et al. 2017)
301240-301243,,Zhangbaling (Liu et al. 2017)
301246,,Dabie (Liu et al. 2017)
301247,,Qinling (Liu et al. 2017)
301248,,Mianlue (Liu et al. 2017)
301260,,Misc. (Liu et al. 2017)
301282,,Zhangbaling (Liu et al. 2017)
301310,,Xinkai (Liu et al. 2017)
301323-301326,,Dabieshan (Liu et al. 2017)
301341,,Dabie (Liu et al. 2017)
301343,,Mianlue (Liu et al. 2017)
301345,,Mianlue (Liu et al. 2017)
301352,,Jiaodong (Liu et al. 2017)
301353,,Huanghai-East China Sea basins (Liu et al. 2017)
301354,,Northern S Huanghai basin (Liu et al. 2017)
301355,,Huanghai-East China Sea basins (Liu et al. 2017)
301356,,Southeastern margin (Liu et al. 2017)
301360,,East China Sea basin (Liu et al. 2017)
301365,,Korea (Liu et al. 2017)
301369,,Northeast (Liu et al. 2017)
301372,,Huainan (Liu et al. 2017)
301373,,Red River Fault (Liu et al. 2017)
301376,,N Sibumasu Fault (Liu et al. 2017)
301377-301378,,Erlian (Liu et al. 2017)
301379,,Xinkai (Liu et al. 2017)
301380,,East Taihang Shan (Liu et al. 2017)
301382,,Taihang Mtns (Liu et al. 2017)
301383,,Tan-Lu (Liu et al. 2017)
301384,,Bohai Bay (Liu et al. 2017)
301385-301386,,Jiamusi-Qitaihe Terrane (Liu et al. 2017)
301390,,Lajishan thrust (Liu et al. 2017)
301391,,Yinchuan Fault (Liu et al. 2017)
301392,,Helanshan (Liu et al. 2017)
301393,,Hetao Fault (Liu et al. 2017)
301396,,Shiguai Basin (Liu et al. 2017)
301398,,Tan-Lu (Liu et al. 2017)
301399-301405,,Bohai Bay (Liu et al. 2017)
301407-301412,,Bohai Bay Basin (Liu et al. 2017)
301999,,Boundary between Mongol-Okhotsk and Eastern Asia (Liu et al. 2017)
400,Russia and Siberia,
401,SIB,Siberia
404,KAR,Kara
406,KAM,Kamchatka Peninsula
407,,Chukotsky Peninsula
409,NES,NE Siberia
413,SHR,Shirshov Ridge
415,MOF,Mongol-Okhotsk Features
416,NEA,Northeast Asia
430,AMU,Amuria
450,JNG,Junggar
451,ALA,Ala Shan
453,HUS,Hutang Uul
454,KJB,Khanka
455,HIN,Hinggan Nuhetsdavaa
456,QAI,Qaidam
457,KUN,Kunlun
458,KOI,Kokchevtav
459,NTI,North Tien Shan
460,CUI,Chu-Ili
461,ATZ,Atashu
462,TBG,Tarbagatay Range Terrane
463,NBA,North Balkhash
464,JBA,Junggar
465,TOU,Tourgai
466,CTI,Central Tien Shan
467,STI,South Tien Shan
468,WSI,West Siberian Basin
471,IZAMP1,Izanagi Microplate in Cretaceous near SE Asia
472,IZAMP2,Izanagi Microplate in Cretaceous near SE Asia
473,IZAMP3,Izanagi Microplate in Cretaceous near SE Asia
474,IZAMP4,Izanagi Microplate in Cretaceous near SE Asia
475,SPK,Sepik Jurassic-Cretaceous backa-arc
498,Jun-01,Junction plate 1
499,Jun-02,Junction plate 2
4011,MOKI,Mongol-Okhotsk isochron
4034,,Upper Lut rigid block
4035,,Central Iran rigid block
4060,,Sanandaj-Sirjan boundary (Mediterranean subduction)
4061,,Arabia northeastern limit
4301,,Mongol-Okhotsk isochron
41200,SAO,South Anuyi Ocean
42100,NSDL,Northern Siberian Shelf De Long Islands
42101,KSI,Kotel'nyi New Siberian Islands
42102,NVB,Novaya Block
42103,VTB,Vil'kitski Trough Basin
42150,ESM,East Siberian Microplate
42200,NSS2,Northern Siberian Shelf Province 2 general
42201,SAN,South Anuyi Block
42300,WRA,Wrangel Island (South of deformation zone) Province
42400,LAP,Laptev Sea Province 42400 general
43101,CVK,Central Verkhoyansk Province general
43102,WVK,Western Verkhoyansk
43200,KOST,Kolyma
43201,OMT,Omolon Province 
43202,CHE,Chersky Range 
43203,PRK,Prikolyma Terrane
43204,OMU,Omulevka Terrane 
43205,ALZ,Alazeya Terrane 
43206,OLO,Oloy Terrane
43207,YRK,Yarakvaam Terrane 
43300,CSBP,Chukotka Peninsula and South Bering Sea Province general
43301,BSE,Bering Strait East (Nome Alaska)
43400,VOP,Viligia/Okhotsk Province general
44100,EKAM,East Kamchatka and Vetlovskiy Terranes
44101,NKAM,North Kamchatka
44102,KKAM,Koryak/Kamchatka
44103,KAMO,East Kamchatka/Okhotsk
500,Indian Ocean and Tethys Ocean,
501,IND,Southern India Craton
502,SLK,Sri Lanka
503,ARB,Arabia
505,IRN,Iran (Lut)
506,AFF,Afghanistan (Farah)
508,SIN,Sinai
511,CIB,Central Indian Basin
514,ELA,Elan Bank
517,WKOHA,West Kohistan Arc 
518,KOHA,Kohistan Arc 
520,WPT,West Pontides
521,SAK,Sakarya
522,MTB,Menderes Taurides block
525,KIR,Kirsehir
526,EPT,East Pontides
528,NKOH,North Kohistan
529,SKOH,South Kohistan back arc
530,CMT1,Central Mesotethys 1
534,CMT2,WAR Central Mesotethys 2
538,,Isochron of AFR
539,,Isochron of AFR
542,,Isochron of AFR
543,,Isochron of AFR
544,,Isochron of ARB
545,,Isochron of ARB
551,GGS,Gagra/Shatsky
554,LAD,Ladakh Arc
557,WTET,Western Tethys Back-arc north of Arabia in Cretaceous 
558,WTET,Western Tethys Back-arc north of Arabia in Cretaceous 
559,WTET,Western Tethys Back-arc north of Arabia in Cretaceous 
560,WTET,Western Tethys Back-arc north of Arabia in Cretaceous 
563,MINO,Mindoro 
564,MINA,Mindanao
565,SES,Southeast Sulawesi
566,SWS,Southwest Sulawesi
567,OBI,Obi Island 
568,NTI3,NeoTethyan Isochrons - Not in model yet - Reserved
569,NTI4,NeoTethyan Isochrons - Not in model yet - Reserved
570,,Not in model yet - Reserved
571,,Not in model yet - Reserved
572,NTI1,NeoTethyan Isochrons - Not in model yet - Reserved
573,NTI2,NeoTethyan Isochrons - Not in model yet - Reserved
574,NTI5,NeoTethyan Isochrons - Not in model yet - Reserved
575,NTI6,NeoTethyan Isochrons - Not in model yet - Reserved
576,,Not in model yet - Reserved
577,,Not in model yet - Reserved
578,,Not in model yet - Reserved
579,,Not in model yet - Reserved
580,TRM,Tarim
590,NPAM,North Pamirs
591,CPAM,Central Pamirs
5522,,Eastern Mediterranean (Herodotus Basin) synthetic isochrons
5801,MKB,Mazar-Kangxiwar Basin
50501,NCT,Isochron north of Cimmerian terranes
50601,HEL,Helmand
50602,MAK,Makran
53001,CMT3,S Cimmerian terranes isochron
53401,CMT4,East Tethys subduction zone
600,Asia and Southeast Asia,
601,NCH,North China Platform
602,SCH,South China Platform
603,SBM,Sino Burma Malaya
604,ICH,Indochina
605,ARG,Argo Oceanic Crust
606,LHA,Lhasa (South Tibet) 
607,MAW,Mawgyi (Central Argoland)
608,SPS,South Philippine Sea
609,NPS,North Philippine Sea
610,EPV,East Parece Vela
611,WPV,West Parece Vela Basin
612,NCS,Northside South China Sea
613,SCS,Southside South China Sea (Dangerous Grounds and Reed Bank)
614,KLM,Kalimantan(Borneo core)
615,PNG,Papua New Guinea
616,EQIA,East Qiangtang (North Tibet)
617,RDB,Reed Bank
619,SIK,Sikhote Alin
621,CSA,Central Sikhote Alin sliver
622,NSA,North Sikhote Alin sliver
623,NMS,Northernmost Sikhote Alin Sliver
624,SAK,Sakhalin
625,CHK,Central Hokkaido
626,WHK,Western Hokkaido
627,NEH,Northeast Honshu
628,CHN,Central Honshu
629,KAN,Kanto Region
630,NSH,North Southwest Honshu/Kyushu
631,SSH,South Southwest Honshu/Kyushu
636,YAM,Yamato Ridge
641,SOJ,Sea of Japan
645,CEL,Celebes Basin
646,ZAM,Zamboanga Peninsula (W. Philippines)
647,MLP,Malay Peninsula
648,SOT,South Okinawa Trough
649,NOT,North Okinawa Trough
651,LSI,Lombok/Sumbawa Islands
652,FAI,Flores/Alor Islands
653,NWC,Northwest Caroline Sea
654,WCS1,Western Caroline Sea 1
655,WCS2,Western Caroline Sea 2
657,WJAV,Java
658,SCSF,South China Sea Floor
659,ESB,East Shikoku Basin
660,NWSC,Northwest South China Sea
662,EJS,Eastern Japan Sea
663,SPSC,South Proto South China Sea
664,BAN,Banda Sea
665,CLL,Celebes Sea Spreading Centre
667,ESW,Northeast Sulawesi
668,WSW,West Sulawesi
669,NSU,North Sulawesi
670,SLA,Sula/Banggai
671,,Spreading in Okinawa Trough
673,SUM,North Sumatra
674,NEG,Negros
675,SMB,Sumba (east of Flores)
676,BDA,Banda Arc
677,PAL,Palawan
678,EPH,East Philippines
679,WHA,West Halmahera Block
680,EHA,East Halmahera
681,SER,Seram
684,TIM,Timor
686,BSS,Barisan/South Sumatra
687,AND,Andaman/Nicobar Ridge
688,SWCB,Southwest Caroline Basin
689,NEC,SEC Northeast Caroline Basin
690,SEC,Southeast Caroline Basin
692,WCS3,Western Caroline Sea 3
693,WCR,Western Caroline Ridge
697,TPA,"C Toricelli, Prince Alexander, Finisterre Arc"
698,CNG,Central New Guinea
699,MAR,Mariana Ridge
6002,LGT,Laurentia-Gondwana transform
6006,AKT,Altai Sayan-Kazakhstania transform
6010,LST,Laurussia-Siberia transform
6011,,Mianlue isochron
6022,,Rollback motion for 259-250 Ma BAB SZ outboard of South China
6622,,Japan subduction zone (Liu et al. 2017)
6662,KUA,Kuril Arc
6698,WSOL3,"Western Solomon Basin, trapped crust"
60201,HAI,Hainan Island
60301,MP1,Malay Peninsula 1
60302,MP2,Malay Peninsula 2
60401,SIM,Simao
60402,SICH,South Indochina
60403,ICH1,Indochina sliver 1 
60404,ICH2,1 Indochina sliver 2 
60405,ICH3,2 Indochina sliver 3 
60406,ICH4,3 Indochina sliver 4 
60601,NCT,Isochron north of Cimmerian terranes
61401,KLM4,Kalimantan 4
61403,CRF,Crocker Formation
61404,LUC,Luconia
61405,EKLM,Easternmost Kalimantan
61406,SPAL2,South Palawan 2 
61407,SAB,Sabah
61413,KLM1,Kalimantan 1 (Accretionary prism) 
61501,BH1,Bird's Head Plate 1 
61502,BH2,Bird's Head Plate 2 
61601,WQIA,West Qiangtang
61602,AMD,Amdo
64701,MLP2,East Malay Peninsula (east of Bentong)
65702,EJAV1,Easternmost Java (recent arc)
67301,NWSUM1,Northwest Sumatra 1 
67303,SUN,Sunda Oroclines 
67305,SUN,Sunda Oroclines 
67307,SUN,Sunda Oroclines 
67310,SUN,Sunda Oroclines 
67312,SUN,Sunda Oroclines 
67313,SUN,Sunda Oroclines 
67314,SUN,Sunda Oroclines 
67315,SUN,Sunda Oroclines 
67316,SUN,Sunda Oroclines 
67317,SUN,Sunda Oroclines 
67350,WOY,Woyla Arc terranes 
67351,BAR,Barisan 
67352,WOY,North Woyla
68601,SUMA,Sumatra Arc
69701,TPA1,"Central Toricelli, Prince Alexander, Finisterre Arc     "
69702,TPA2,"Eastern Toricelli, Prince Alexander, Finisterre Arc     "
601101-601131,,Misc. (Liu et al. 2017)
602201,,Isochron rotations for 259-250 Ma BAB outboard of South China
602202,,Isochron rotations for 259-250 Ma BAB outboard of South China
700,Africa,
701,AFR,Africa
702,MAD,Madagascar
704,,Seychelles
706,ORA,Oran Meseta
707,GKAB1,Grande Kabylie1
708,PKAB,Petite Kabylie
709,SOM,Somalia Plate
710,DAN,Danakil
712,LVB,Lake Victoria Block
713,NMZ,North Mozambique
714,NWA,Northwest Africa 
715,NEA,Northeast Africa (Nubia)
716,ILL,Illumeden platelet
717,BNS,Bangong Nujiang suture east of Karakoram Fault
718,TEL,Tellian (Atlas)
720,ALB,Alboran
721,RIF,Rif
723,BNE,Benue Microplate
726,BGR,Bongor Microplate
727,NPSC,North Proto South China Sea
735,SEM,Semitau Block
736,EJAV,WJAV East Java
